"tool","precision","recall","f_measure","overlap","counter_tool","counter_txtwerk","dpa_id"
"ambiverse",0.375,0.25,0.3,3,8,12,"urn:newsml:dpa.com:20090101:170419-99-115489/3"
"ambiverse",0.6,0.3333333333333333,0.42857142857142855,3,5,9,"urn:newsml:dpa.com:20090101:170419-99-117674/2"
"ambiverse",0.5,0.43333333333333335,0.4642857142857143,26,52,60,"urn:newsml:dpa.com:20090101:170419-99-125759/4"
"ambiverse",0.2727272727272727,0.2727272727272727,0.2727272727272727,3,11,11,"urn:newsml:dpa.com:20090101:170420-99-132118/2"
"ambiverse",0.2777777777777778,0.17857142857142858,0.21739130434782608,10,36,56,"urn:newsml:dpa.com:20090101:170420-99-137375/1"
"ambiverse",0.625,0.38461538461538464,0.4761904761904762,5,8,13,"urn:newsml:dpa.com:20090101:170421-99-154898/5"
"ambiverse",0.5,0.2222222222222222,0.30769230769230765,2,4,9,"urn:newsml:dpa.com:20090101:170423-99-170079/2"
"ambiverse",0.7083333333333334,0.6071428571428571,0.6538461538461539,17,24,28,"urn:newsml:dpa.com:20090101:170423-99-170164/2"
"ambiverse",0.2,0.08333333333333333,0.11764705882352941,1,5,12,"urn:newsml:dpa.com:20090101:170424-99-182849/2"
"ambiverse",0.6666666666666666,0.16666666666666666,0.26666666666666666,2,3,12,"urn:newsml:dpa.com:20090101:170424-99-185749/3"
"ambiverse",0.5,0.2222222222222222,0.30769230769230765,2,4,9,"urn:newsml:dpa.com:20090101:170424-99-186656/2"
"ambiverse",0.6,0.2727272727272727,0.37499999999999994,6,10,22,"urn:newsml:dpa.com:20090101:170425-99-195092/4"
"ambiverse",0.29411764705882354,0.4166666666666667,0.3448275862068966,5,17,12,"urn:newsml:dpa.com:20090101:170425-99-196929/7"
"ambiverse",0.8333333333333334,0.5,0.625,5,6,10,"urn:newsml:dpa.com:20090101:170425-99-199525/4"
"ambiverse",0.3137254901960784,0.2909090909090909,0.3018867924528302,16,51,55,"urn:newsml:dpa.com:20090101:170426-99-209057/5"
"ambiverse",0.6666666666666666,0.29411764705882354,0.40816326530612246,10,15,34,"urn:newsml:dpa.com:20090101:170426-99-209935/14"
"ambiverse",0.6666666666666666,0.3333333333333333,0.4444444444444444,4,6,12,"urn:newsml:dpa.com:20090101:170426-99-213412/2"
"ambiverse",0.5384615384615384,0.3181818181818182,0.39999999999999997,7,13,22,"urn:newsml:dpa.com:20090101:170426-99-213806/1"
"ambiverse",0.5333333333333333,0.3333333333333333,0.4102564102564102,8,15,24,"urn:newsml:dpa.com:20090101:170426-99-214108/2"
"ambiverse",0.45454545454545453,0.5,0.47619047619047616,5,11,10,"urn:newsml:dpa.com:20090101:170426-99-217047/2"
"ambiverse",0.6111111111111112,0.4583333333333333,0.5238095238095238,22,36,48,"urn:newsml:dpa.com:20090101:170427-99-233386/4"
"ambiverse",0.5283018867924528,0.5833333333333334,0.5544554455445545,28,53,48,"urn:newsml:dpa.com:20090101:170428-99-253795/2"
"ambiverse",0.47619047619047616,0.2702702702702703,0.3448275862068966,30,63,111,"urn:newsml:dpa.com:20090101:170429-99-255848/2"
"ambiverse",0.4,0.2857142857142857,0.3333333333333333,2,5,7,"urn:newsml:dpa.com:20090101:170429-99-255861/3"
"ambiverse",0.2,0.16666666666666666,0.1818181818181818,1,5,6,"urn:newsml:dpa.com:20090101:170429-99-258159/2"
"ambiverse",0.4666666666666667,0.5,0.4827586206896552,7,15,14,"urn:newsml:dpa.com:20090101:170429-99-261646/2"
"ambiverse",0.6666666666666666,0.42105263157894735,0.5161290322580646,8,12,19,"urn:newsml:dpa.com:20090101:170429-99-261669/4"
"ambiverse",0.36363636363636365,0.3137254901960784,0.3368421052631579,16,44,51,"urn:newsml:dpa.com:20090101:170502-90-025001/2"
"ambiverse",0.8666666666666667,0.8125,0.8387096774193549,13,15,16,"urn:newsml:dpa.com:20090101:170502-99-283326/4"
"ambiverse",0.5333333333333333,0.24242424242424243,0.3333333333333333,8,15,33,"urn:newsml:dpa.com:20090101:170502-99-285992/24"
"ambiverse",0.4444444444444444,0.3037974683544304,0.36090225563909767,48,108,158,"urn:newsml:dpa.com:20090101:170502-99-293667/3"
"ambiverse",0.4,0.34782608695652173,0.37209302325581395,8,20,23,"urn:newsml:dpa.com:20090101:170503-99-306949/7"
"ambiverse",0.4444444444444444,0.25,0.32,16,36,64,"urn:newsml:dpa.com:20090101:170503-99-309261/15"
"ambiverse",0.45454545454545453,0.35714285714285715,0.4,5,11,14,"urn:newsml:dpa.com:20090101:170504-99-310976/5"
"ambiverse",0.3333333333333333,0.4,0.3636363636363636,2,6,5,"urn:newsml:dpa.com:20090101:170504-99-312203/3"
"ambiverse",0.25,0.15384615384615385,0.1904761904761905,2,8,13,"urn:newsml:dpa.com:20090101:170504-99-313752/2"
"ambiverse",0.896551724137931,0.6842105263157895,0.7761194029850746,26,29,38,"urn:newsml:dpa.com:20090101:170504-99-319635/7"
"ambiverse",0.5,0.4,0.4444444444444445,2,4,5,"urn:newsml:dpa.com:20090101:170505-99-328224/3"
"ambiverse",0.7894736842105263,0.6428571428571429,0.7086614173228346,45,57,70,"urn:newsml:dpa.com:20090101:170505-99-328229/4"
"ambiverse",0.14285714285714285,0.14285714285714285,0.14285714285714285,1,7,7,"urn:newsml:dpa.com:20090101:170505-99-330290/4"
"ambiverse",0.6071428571428571,0.34,0.43589743589743596,17,28,50,"urn:newsml:dpa.com:20090101:170505-99-333463/2"
"ambiverse",0.16666666666666666,0.3333333333333333,0.2222222222222222,2,12,6,"urn:newsml:dpa.com:20090101:170506-99-342100/6"
"ambiverse",0.5,0.3448275862068966,0.40816326530612246,10,20,29,"urn:newsml:dpa.com:20090101:170506-99-342495/8"
"ambiverse",0.3333333333333333,0.14285714285714285,0.2,2,6,14,"urn:newsml:dpa.com:20090101:170506-99-343279/2"
"ambiverse",0.5,0.4074074074074074,0.44897959183673464,11,22,27,"urn:newsml:dpa.com:20090101:170507-99-350402/16"
"ambiverse",0.6,0.46153846153846156,0.5217391304347826,6,10,13,"urn:newsml:dpa.com:20090101:170507-99-351680/3"
"ambiverse",0.696969696969697,0.5227272727272727,0.5974025974025974,46,66,88,"urn:newsml:dpa.com:20090101:170507-99-352849/13"
"ambiverse",0.5862068965517241,0.4594594594594595,0.5151515151515151,17,29,37,"urn:newsml:dpa.com:20090101:170507-99-354874/5"
"ambiverse",0.5294117647058824,0.45,0.48648648648648646,9,17,20,"urn:newsml:dpa.com:20090101:170508-99-359371/3"
"ambiverse",0.5,1,0.6666666666666666,1,2,1,"urn:newsml:dpa.com:20090101:170508-99-362291/3"
"ambiverse",0.2857142857142857,0.2,0.23529411764705882,2,7,10,"urn:newsml:dpa.com:20090101:170508-99-363819/3"
"ambiverse",1,0.4,0.5714285714285715,6,6,15,"urn:newsml:dpa.com:20090101:170508-99-364486/3"
"ambiverse",0.6428571428571429,0.375,0.4736842105263159,9,14,24,"urn:newsml:dpa.com:20090101:170508-99-368008/2"
"ambiverse",1,1,1,1,1,1,"urn:newsml:dpa.com:20090101:170509-99-372903/2"
"ambiverse",0.4,0.3333333333333333,0.3636363636363636,4,10,12,"urn:newsml:dpa.com:20090101:170509-99-375750/4"
