surface,label_1,uri_1,tool_1,label_2,uri_2,tool_2,id,dpa_id
Leiferde,Leiferde,Q1576327,txtwerk,Leiferde,Q638324,dandelion,299_307,20090101:170216-99-318704/11
Leiferde,Leiferde,Q638324,textrazor,Leiferde,Q1576327,txtwerk,299_307,20090101:170216-99-318704/11
Leiferde,Leiferde,Q638324,txt_alt,Leiferde,Q1576327,txtwerk,299_307,20090101:170216-99-318704/11
Euro,Euro,Q4916,textrazor,Europa,Q46,ambiverse,979_983,20090101:170220-99-361784/2
Euro,Euro,Q4916,textrazor,Europa,Q46,ambiverse,601_605,20090101:170220-99-361784/2
Erdfall,Erdfall,Q188734,txt_alt,Erdfall,Q1349117,dandelion,40_47,20090101:170220-99-361784/2
Erdfall,Erdfall,Q188734,txt_alt,Erdfall,Q1349117,txtwerk,40_47,20090101:170220-99-361784/2
Erdfall,Erdfall,Q188734,txt_alt,Erdfall,Q1349117,textrazor,40_47,20090101:170220-99-361784/2
Erdfall,Erdfall,Q188734,txt_alt,Erdfall,Q1349117,dandelion,338_345,20090101:170220-99-361784/2
Erdfall,Erdfall,Q188734,txt_alt,Erdfall,Q1349117,txtwerk,338_345,20090101:170220-99-361784/2
Erdfall,Erdfall,Q188734,txt_alt,Erdfall,Q1349117,textrazor,338_345,20090101:170220-99-361784/2
Heim-WM,"Biathlon-Weltmeisterschaften 2012",Q161109,dandelion,"UCI-Bahn-Weltmeisterschaften 1999",Q634178,ambiverse,250_257,20090101:170221-99-370286/3
Silber,Silber,Q1090,txtwerk,Medaille,Q131647,dandelion,1079_1085,20090101:170221-99-370286/3
Skisport,Skisport,Q15621650,txtwerk,"Olympische Winterspiele 1924/Ski Nordisch",Q1701760,dandelion,2219_2227,20090101:170221-99-370286/3
Silber,Silber,Q1090,txtwerk,Medaille,Q131647,dandelion,3027_3033,20090101:170221-99-370286/3
Bronze,Bronze,Q34095,txtwerk,Medaille,Q131647,dandelion,3087_3093,20090101:170221-99-370286/3
"Kyrö",Karinainen,Q910021,aylien,"ST Kyro",Q3200993,dandelion,1384_1388,20090101:170221-99-370286/3
"Salt Lake City","Olympische Winterspiele 2002",Q9668,aylien,"Salt Lake City",Q23337,dandelion,2983_2997,20090101:170221-99-370286/3
Asse,Asse,Q314205,textrazor,"Asse (Durance)",Q739985,aylien,307_311,20090101:170221-99-370286/3
Bronze,Bronze,Q34095,textrazor,Medaille,Q131647,dandelion,3087_3093,20090101:170221-99-370286/3
"Salt Lake City","Salt Lake City",Q23337,textrazor,"Olympische Winterspiele 2002",Q9668,aylien,2983_2997,20090101:170221-99-370286/3
Skisport,Skifahren,Q130949,textrazor,"Olympische Winterspiele 1924/Ski Nordisch",Q1701760,dandelion,2219_2227,20090101:170221-99-370286/3
Skisport,Skifahren,Q130949,textrazor,Skisport,Q15621650,txtwerk,2219_2227,20090101:170221-99-370286/3
"WM 2001","WM 2001",Q285535,txt_alt,"Nordische Skiweltmeisterschaften 2001",Q1428125,dandelion,88_95,20090101:170221-99-370286/3
Asse,Asse,Q314205,txt_alt,"Asse (Durance)",Q739985,aylien,307_311,20090101:170221-99-370286/3
Weltmeisterschaften,"Fußball-Weltmeisterschaft",Q19317,txt_alt,"Nordische Ski-Weltmeisterschaften",Q937571,dandelion,2247_2266,20090101:170221-99-370286/3
"Salt Lake City","Olympische Winterspiele 2002",Q9668,txt_alt,"Salt Lake City",Q23337,dandelion,2983_2997,20090101:170221-99-370286/3
"Salt Lake City","Olympische Winterspiele 2002",Q9668,txt_alt,"Salt Lake City",Q23337,textrazor,2983_2997,20090101:170221-99-370286/3
Franken,Mittelfranken,Q10551,txtwerk,Franken,Q150907,dandelion,831_838,20090101:170221-99-372882/9
"bayerischen Vogtland","Hofer Land",Q1622999,txtwerk,Vogtland,Q708317,dandelion,1399_1419,20090101:170221-99-372882/9
"bayerischen Vogtland",Vogtland,Q708317,textrazor,"Hofer Land",Q1622999,txtwerk,1399_1419,20090101:170221-99-372882/9
Franken,Franken,Q150907,textrazor,Mittelfranken,Q10551,txtwerk,831_838,20090101:170221-99-372882/9
Register,Register,Q187466,txt_alt,Register,Q1446290,dandelion,102_110,20090101:170221-99-372882/9
Register,Register,Q187466,txt_alt,Register,Q1446290,txtwerk,102_110,20090101:170221-99-372882/9
Register,Register,Q187466,txt_alt,Register,Q1446290,textrazor,102_110,20090101:170221-99-372882/9
Bergen,Bergen,Q9901,txt_alt,Bergen,Q26793,aylien,472_478,20090101:170221-99-372882/9
Bergen,Bergen,Q9901,txt_alt,Bergen,Q26793,textrazor,472_478,20090101:170221-99-372882/9
Franken,Franken,Q25344,txt_alt,Franken,Q150907,dandelion,831_838,20090101:170221-99-372882/9
Franken,Franken,Q25344,txt_alt,Mittelfranken,Q10551,txtwerk,831_838,20090101:170221-99-372882/9
Franken,Franken,Q25344,txt_alt,Franken,Q150907,textrazor,831_838,20090101:170221-99-372882/9
Idris,Idris,Q116430,dandelion,Baluken,Q20085709,ambiverse,767_772,20090101:170221-99-377310/4
Idris,Idris,Q116430,txtwerk,Baluken,Q20085709,ambiverse,767_772,20090101:170221-99-377310/4
Anadolu,"Anadolu Ajansı",Q477436,textrazor,Anatolien,Q51614,ambiverse,1540_1547,20090101:170221-99-377310/4
Parlament,"Große Nationalversammlung der Türkei",Q274918,textrazor,Parlament,Q35749,dandelion,877_886,20090101:170221-99-377310/4
Parlament,"Große Nationalversammlung der Türkei",Q274918,textrazor,Parlament,Q35749,dandelion,2065_2074,20090101:170221-99-377310/4
Parlament,"Große Nationalversammlung der Türkei",Q274918,textrazor,Parlament,Q35749,dandelion,1380_1389,20090101:170221-99-377310/4
Parlament,"Große Nationalversammlung der Türkei",Q274918,textrazor,Parlament,Q35749,dandelion,2503_2512,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,ambiverse,4_7,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,dandelion,4_7,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,txtwerk,4_7,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,textrazor,4_7,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,ambiverse,159_162,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,dandelion,159_162,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,txtwerk,159_162,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,textrazor,159_162,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,dandelion,425_428,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,txtwerk,425_428,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,textrazor,425_428,20090101:170221-99-377310/4
Untersuchungshaft,Untersuchungshaft,Q2499117,txt_alt,Untersuchungshaft,Q4354932,dandelion,800_817,20090101:170221-99-377310/4
Untersuchungshaft,Untersuchungshaft,Q2499117,txt_alt,Untersuchungshaft,Q4354932,txtwerk,800_817,20090101:170221-99-377310/4
Untersuchungshaft,Untersuchungshaft,Q2499117,txt_alt,Untersuchungshaft,Q4354932,textrazor,800_817,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,ambiverse,832_835,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,dandelion,832_835,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,txtwerk,832_835,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,textrazor,832_835,20090101:170221-99-377310/4
Diyarbakir,Diyarbakir,Q83081,txt_alt,"Diyarbakır",Q83387,ambiverse,1796_1806,20090101:170221-99-377310/4
Diyarbakir,Diyarbakir,Q83081,txt_alt,"Diyarbakır",Q83387,dandelion,1796_1806,20090101:170221-99-377310/4
Diyarbakir,Diyarbakir,Q83081,txt_alt,"Diyarbakır",Q83387,txtwerk,1796_1806,20090101:170221-99-377310/4
Diyarbakir,Diyarbakir,Q83081,txt_alt,"Diyarbakır",Q83387,textrazor,1796_1806,20090101:170221-99-377310/4
Untersuchungshaft,Untersuchungshaft,Q2499117,txt_alt,Untersuchungshaft,Q4354932,dandelion,1838_1855,20090101:170221-99-377310/4
Untersuchungshaft,Untersuchungshaft,Q2499117,txt_alt,Untersuchungshaft,Q4354932,txtwerk,1838_1855,20090101:170221-99-377310/4
Untersuchungshaft,Untersuchungshaft,Q2499117,txt_alt,Untersuchungshaft,Q4354932,textrazor,1838_1855,20090101:170221-99-377310/4
Untersuchungshaft,Untersuchungshaft,Q2499117,txt_alt,Untersuchungshaft,Q4354932,dandelion,2001_2018,20090101:170221-99-377310/4
Untersuchungshaft,Untersuchungshaft,Q2499117,txt_alt,Untersuchungshaft,Q4354932,txtwerk,2001_2018,20090101:170221-99-377310/4
Untersuchungshaft,Untersuchungshaft,Q2499117,txt_alt,Untersuchungshaft,Q4354932,textrazor,2001_2018,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,ambiverse,2449_2452,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,dandelion,2449_2452,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,txtwerk,2449_2452,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,textrazor,2449_2452,20090101:170221-99-377310/4
"Immunität","Immunität",Q182581,txt_alt,"Politische Immunität",Q753022,dandelion,2540_2549,20090101:170221-99-377310/4
"Immunität","Immunität",Q182581,txt_alt,"Politische Immunität",Q753022,textrazor,2540_2549,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,ambiverse,2608_2611,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,dandelion,2608_2611,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,txtwerk,2608_2611,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,textrazor,2608_2611,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,ambiverse,2695_2698,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,dandelion,2695_2698,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,txtwerk,2695_2698,20090101:170221-99-377310/4
HDP,HDP,Q412205,txt_alt,"Halkların Demokratik Partisi",Q15123187,textrazor,2695_2698,20090101:170221-99-377310/4
Washington,Washington,Q61,dandelion,"Vereinigte Staaten",Q30,ambiverse,0_10,20090101:170221-99-379969/2
Washington,Washington,Q1223,aylien,"Vereinigte Staaten",Q30,ambiverse,0_10,20090101:170221-99-379969/2
Washington,Washington,Q1223,aylien,Washington,Q61,dandelion,0_10,20090101:170221-99-379969/2
"Fake News","Fake news",Q28549308,textrazor,Falschmeldung,Q27787146,dandelion,446_455,20090101:170221-99-379969/2
Washington,Washington,Q61,textrazor,"Vereinigte Staaten",Q30,ambiverse,0_10,20090101:170221-99-379969/2
Washington,Washington,Q61,textrazor,Washington,Q1223,aylien,0_10,20090101:170221-99-379969/2
"Carl Zeiss","Carl Zeiss",Q76833,txt_alt,"Carl Zeiss",Q282186,ambiverse,431_441,20090101:170222-90-024563/2
"Carl Zeiss","Carl Zeiss",Q76833,txt_alt,"Carl Zeiss",Q282186,txtwerk,431_441,20090101:170222-90-024563/2
"Carl Zeiss","Carl Zeiss",Q76833,txt_alt,"Carl Zeiss",Q282186,textrazor,431_441,20090101:170222-90-024563/2
Freenet,Freenet,Q540,txt_alt,"Freenet AG",Q265273,txtwerk,632_639,20090101:170222-90-024563/2
Freenet,Freenet,Q540,txt_alt,"Freenet AG",Q265273,textrazor,632_639,20090101:170222-90-024563/2
SMA,SMA,Q278165,txt_alt,"Gesellschaft der Afrikamissionen",Q1518370,txtwerk,1076_1079,20090101:170222-90-024563/2
A4,"ISO 216",Q839751,aylien,"Bundesautobahn 4",Q9013,dandelion,81_83,20090101:170222-99-389788/2
Weimar,"Johann Sebastian Bach",Q1339,aylien,Weimar,Q3955,ambiverse,0_6,20090101:170222-99-389788/2
Weimar,"Johann Sebastian Bach",Q1339,aylien,Weimar,Q3955,dandelion,0_6,20090101:170222-99-389788/2
Weimar,"Johann Sebastian Bach",Q1339,aylien,Weimar,Q3955,txtwerk,0_6,20090101:170222-99-389788/2
Weimar,Weimar,Q3955,textrazor,"Johann Sebastian Bach",Q1339,aylien,0_6,20090101:170222-99-389788/2
Weimar,Weimar,Q3955,txt_alt,"Johann Sebastian Bach",Q1339,aylien,0_6,20090101:170222-99-389788/2
Amtsgericht,Amtsgericht,Q253836,txt_alt,Amtsgericht,Q480477,dandelion,148_159,20090101:170222-99-389788/2
Amtsgericht,Amtsgericht,Q253836,txt_alt,Amtsgericht,Q480477,txtwerk,148_159,20090101:170222-99-389788/2
Amtsgericht,Amtsgericht,Q253836,txt_alt,Amtsgericht,Q480477,aylien,148_159,20090101:170222-99-389788/2
Amtsgericht,Amtsgericht,Q253836,txt_alt,Amtsgericht,Q480477,textrazor,148_159,20090101:170222-99-389788/2
USA,Amerikaner,Q846570,txtwerk,"Vereinte Nationen",Q1065,ambiverse,3135_3138,20090101:170222-99-391294/2
Airbus,Airbus,Q67,txtwerk,"Airbus Group SE",Q2311,ambiverse,3540_3546,20090101:170222-99-391294/2
Airbus,Airbus,Q67,txtwerk,"Airbus Group SE",Q2311,ambiverse,3938_3944,20090101:170222-99-391294/2
USA,"Vereinigte Staaten",Q30,aylien,"Vereinte Nationen",Q1065,ambiverse,3135_3138,20090101:170222-99-391294/2
USA,"Vereinigte Staaten",Q30,aylien,Amerikaner,Q846570,txtwerk,3135_3138,20090101:170222-99-391294/2
Dax,"US Dax",Q1319827,aylien,"Conny Dachs",Q1126430,ambiverse,5989_5992,20090101:170222-99-391294/2
CDU/CSU,"Christlich Demokratische Union Deutschlands",Q49762,aylien,Unionsparteien,Q708725,ambiverse,317_324,20090101:170222-99-391294/2
CDU/CSU,Unionsparteien,Q708725,textrazor,"Christlich Demokratische Union Deutschlands",Q49762,aylien,317_324,20090101:170222-99-391294/2
Dax,DAX,Q155718,textrazor,"Conny Dachs",Q1126430,ambiverse,6183_6186,20090101:170222-99-391294/2
Airbus,Airbus,Q67,textrazor,"Airbus Group SE",Q2311,ambiverse,3938_3944,20090101:170222-99-391294/2
Airbus,Airbus,Q67,textrazor,"Airbus Group SE",Q2311,ambiverse,3540_3546,20090101:170222-99-391294/2
Dax,DAX,Q155718,textrazor,"Conny Dachs",Q1126430,ambiverse,5989_5992,20090101:170222-99-391294/2
Dax,DAX,Q155718,textrazor,"US Dax",Q1319827,aylien,5989_5992,20090101:170222-99-391294/2
Euro,Euro,Q4916,textrazor,Europa,Q46,ambiverse,1255_1259,20090101:170222-99-391294/2
Euro,Euro,Q4916,textrazor,Europa,Q46,ambiverse,5797_5801,20090101:170222-99-391294/2
Euro,Euro,Q4916,textrazor,Europa,Q46,ambiverse,5271_5275,20090101:170222-99-391294/2
Euro,Euro,Q4916,textrazor,Europa,Q46,ambiverse,4210_4214,20090101:170222-99-391294/2
Euro,Euro,Q4916,textrazor,Europa,Q46,ambiverse,4006_4010,20090101:170222-99-391294/2
Euro,Euro,Q4916,textrazor,Europa,Q46,ambiverse,2322_2326,20090101:170222-99-391294/2
Euro,Euro,Q4916,textrazor,Europa,Q46,ambiverse,1574_1578,20090101:170222-99-391294/2
Euro,Euro,Q4916,textrazor,Europa,Q46,ambiverse,1473_1477,20090101:170222-99-391294/2
USA,"Vereinigte Staaten",Q30,textrazor,"Vereinte Nationen",Q1065,ambiverse,3135_3138,20090101:170222-99-391294/2
USA,"Vereinigte Staaten",Q30,textrazor,Amerikaner,Q846570,txtwerk,3135_3138,20090101:170222-99-391294/2
Euro,Euro,Q4916,textrazor,Europa,Q46,ambiverse,6603_6607,20090101:170222-99-391294/2
Bundeskanzlerin,"Angela Merkel",Q567,textrazor,Bundeskanzler,Q4970706,txtwerk,2000_2015,20090101:170222-99-391294/2
Sozialdemokraten,Sozialdemokraten,Q4362,txt_alt,"Sozialdemokratische Partei Deutschlands",Q49768,ambiverse,216_232,20090101:170222-99-391294/2
Sozialdemokraten,Sozialdemokraten,Q4362,txt_alt,"Sozialdemokratische Partei Deutschlands",Q49768,textrazor,216_232,20090101:170222-99-391294/2
Maas,Maas,Q41986,txt_alt,"Heiko Maas",Q108447,ambiverse,829_833,20090101:170222-99-391294/2
Maas,Maas,Q41986,txt_alt,"Heiko Maas",Q108447,txtwerk,829_833,20090101:170222-99-391294/2
Maas,Maas,Q41986,txt_alt,"Heiko Maas",Q108447,textrazor,829_833,20090101:170222-99-391294/2
Bundeskanzlerin,"Angela Merkel",Q567,txt_alt,Bundeskanzler,Q4970706,txtwerk,2000_2015,20090101:170222-99-391294/2
CDU,CDU,Q49754,txt_alt,"Christlich Demokratische Union Deutschlands",Q49762,ambiverse,2031_2034,20090101:170222-99-391294/2
CDU,CDU,Q49754,txt_alt,"Christlich Demokratische Union Deutschlands",Q49762,txtwerk,2031_2034,20090101:170222-99-391294/2
CDU,CDU,Q49754,txt_alt,"Christlich Demokratische Union Deutschlands",Q49762,textrazor,2031_2034,20090101:170222-99-391294/2
Pflanzenschutz,Pflanzenschutz,Q864527,txt_alt,Pflanzenschutz,Q1944497,txtwerk,2873_2887,20090101:170222-99-391294/2
Pflanzenschutz,Pflanzenschutz,Q864527,txt_alt,Pflanzenschutz,Q1944497,textrazor,2873_2887,20090101:170222-99-391294/2
USA,"Fußball-Weltmeisterschaft 1994",Q101751,txt_alt,"Vereinte Nationen",Q1065,ambiverse,3135_3138,20090101:170222-99-391294/2
USA,"Fußball-Weltmeisterschaft 1994",Q101751,txt_alt,Amerikaner,Q846570,txtwerk,3135_3138,20090101:170222-99-391294/2
USA,"Fußball-Weltmeisterschaft 1994",Q101751,txt_alt,"Vereinigte Staaten",Q30,aylien,3135_3138,20090101:170222-99-391294/2
USA,"Fußball-Weltmeisterschaft 1994",Q101751,txt_alt,"Vereinigte Staaten",Q30,textrazor,3135_3138,20090101:170222-99-391294/2
Airbus,Airbus,Q67,txt_alt,"Airbus Group SE",Q2311,ambiverse,3540_3546,20090101:170222-99-391294/2
Airbus,Airbus,Q67,txt_alt,"Airbus Group SE",Q2311,ambiverse,3938_3944,20090101:170222-99-391294/2
Delhi,Neu-Delhi,Q987,txt_alt,Delhi,Q1353,ambiverse,5056_5061,20090101:170222-99-391294/2
Delhi,Neu-Delhi,Q987,txt_alt,Delhi,Q1353,aylien,5056_5061,20090101:170222-99-391294/2
Delhi,Neu-Delhi,Q987,txt_alt,Delhi,Q1353,textrazor,5056_5061,20090101:170222-99-391294/2
Dax,Dax,Q188878,txt_alt,"Conny Dachs",Q1126430,ambiverse,5989_5992,20090101:170222-99-391294/2
Dax,Dax,Q188878,txt_alt,"US Dax",Q1319827,aylien,5989_5992,20090101:170222-99-391294/2
Dax,Dax,Q188878,txt_alt,DAX,Q155718,textrazor,5989_5992,20090101:170222-99-391294/2
Aktienmarkt,Aktienmarkt,Q59551,txt_alt,Aktienmarkt,Q475000,txtwerk,6096_6107,20090101:170222-99-391294/2
Aktienmarkt,Aktienmarkt,Q59551,txt_alt,Aktienmarkt,Q475000,textrazor,6096_6107,20090101:170222-99-391294/2
Dax,Dax,Q188878,txt_alt,"Conny Dachs",Q1126430,ambiverse,6183_6186,20090101:170222-99-391294/2
Dax,Dax,Q188878,txt_alt,DAX,Q155718,textrazor,6183_6186,20090101:170222-99-391294/2
Waldkrankenhaus,"Evangelisches Waldkrankenhaus Spandau",Q15110572,dandelion,"Waldkrankenhaus St. Marien",Q2541690,ambiverse,409_424,20090101:170223-99-399051/2
"Orkanstärke",Beaufortskala,Q170464,textrazor,Orkan,Q15279734,dandelion,725_736,20090101:170223-99-399051/2
Feuerwehr,Feuerwehr,Q896544,txt_alt,Feuerwehr,Q6498663,textrazor,53_62,20090101:170223-99-399051/2
Spandau,Spandau,Q158083,txt_alt,Spandau,Q569827,ambiverse,428_435,20090101:170223-99-399051/2
Spandau,Spandau,Q158083,txt_alt,Spandau,Q569827,dandelion,428_435,20090101:170223-99-399051/2
Spandau,Spandau,Q158083,txt_alt,Spandau,Q569827,txtwerk,428_435,20090101:170223-99-399051/2
Spandau,Spandau,Q158083,txt_alt,Spandau,Q569827,textrazor,428_435,20090101:170223-99-399051/2
Verden,"Verden (Aller)",Q486551,dandelion,"Landkreis Verden",Q5927,ambiverse,623_629,20090101:170223-99-401922/5
Leer,Leer,Q15984,dandelion,"Landkreis Leer",Q5934,ambiverse,660_664,20090101:170223-99-401922/5
Verden,"Verden (Aller)",Q486551,txtwerk,"Landkreis Verden",Q5927,ambiverse,623_629,20090101:170223-99-401922/5
Leer,Leer,Q15984,txtwerk,"Landkreis Leer",Q5934,ambiverse,660_664,20090101:170223-99-401922/5
Landes,"Département Landes",Q12563,aylien,Bundesland,Q1221156,dandelion,1100_1106,20090101:170223-99-401922/5
Euro,Euro,Q4916,textrazor,Europa,Q46,ambiverse,881_885,20090101:170223-99-401922/5
Verden,"Verden (Aller)",Q486551,textrazor,"Landkreis Verden",Q5927,ambiverse,623_629,20090101:170223-99-401922/5
Euro,Euro,Q4916,textrazor,Europa,Q46,ambiverse,473_477,20090101:170223-99-401922/5
Euro,Euro,Q4916,textrazor,Europa,Q46,ambiverse,412_416,20090101:170223-99-401922/5
Euro,Euro,Q4916,textrazor,Europa,Q46,ambiverse,299_303,20090101:170223-99-401922/5
Stade,Stade,Q5906,txt_alt,Stade,Q6949,ambiverse,585_590,20090101:170223-99-401922/5
Stade,Stade,Q5906,txt_alt,Stade,Q6949,dandelion,585_590,20090101:170223-99-401922/5
Stade,Stade,Q5906,txt_alt,Stade,Q6949,txtwerk,585_590,20090101:170223-99-401922/5
Stade,Stade,Q5906,txt_alt,Stade,Q6949,textrazor,585_590,20090101:170223-99-401922/5
Verden,"Landkreis Verden",Q5927,txt_alt,"Verden (Aller)",Q486551,dandelion,623_629,20090101:170223-99-401922/5
Verden,"Landkreis Verden",Q5927,txt_alt,"Verden (Aller)",Q486551,txtwerk,623_629,20090101:170223-99-401922/5
Verden,"Landkreis Verden",Q5927,txt_alt,"Verden (Aller)",Q486551,textrazor,623_629,20090101:170223-99-401922/5
Leer,"Landkreis Leer",Q5934,txt_alt,Leer,Q15984,dandelion,660_664,20090101:170223-99-401922/5
Leer,"Landkreis Leer",Q5934,txt_alt,Leer,Q15984,txtwerk,660_664,20090101:170223-99-401922/5
Sozialwissenschaftler,Sozialwissenschaft,Q34749,txtwerk,Soziologie,Q21201,dandelion,1107_1128,20090101:170223-99-408779/10
Sozialwissenschaftler,Sozialwissenschaft,Q34749,textrazor,Soziologie,Q21201,dandelion,1107_1128,20090101:170223-99-408779/10
Karnevalsverein,Karnevalsverein,Q262577,txt_alt,Karnevalsverein,Q1734138,dandelion,75_90,20090101:170223-99-408779/10
Karnevalsverein,Karnevalsverein,Q262577,txt_alt,Karnevalsverein,Q1734138,txtwerk,75_90,20090101:170223-99-408779/10
Karnevalsverein,Karnevalsverein,Q262577,txt_alt,Karnevalsverein,Q1734138,textrazor,75_90,20090101:170223-99-408779/10
Rosenmontagszug,Rosenmontagszug,Q162966,txt_alt,Karnevalsumzug,Q1734134,dandelion,96_111,20090101:170223-99-408779/10
Rosenmontagszug,Rosenmontagszug,Q162966,txt_alt,Karnevalsumzug,Q1734134,txtwerk,96_111,20090101:170223-99-408779/10
Rosenmontagszug,Rosenmontagszug,Q162966,txt_alt,Karnevalsumzug,Q1734134,textrazor,96_111,20090101:170223-99-408779/10
Karnevalsverein,Karnevalsverein,Q262577,txt_alt,Karnevalsverein,Q1734138,dandelion,695_710,20090101:170223-99-408779/10
Karnevalsverein,Karnevalsverein,Q262577,txt_alt,Karnevalsverein,Q1734138,txtwerk,695_710,20090101:170223-99-408779/10
Karnevalsverein,Karnevalsverein,Q262577,txt_alt,Karnevalsverein,Q1734138,textrazor,695_710,20090101:170223-99-408779/10
"Völkermord",Holocaust,Q2763,txt_alt,"Völkermord",Q41397,dandelion,921_931,20090101:170223-99-408779/10
"Völkermord",Holocaust,Q2763,txt_alt,"Völkermord",Q41397,txtwerk,921_931,20090101:170223-99-408779/10
"Völkermord",Holocaust,Q2763,txt_alt,"Völkermord",Q41397,textrazor,921_931,20090101:170223-99-408779/10
Karnevalsverein,Karnevalsverein,Q262577,txt_alt,Karnevalsverein,Q1734138,dandelion,1233_1248,20090101:170223-99-408779/10
Karnevalsverein,Karnevalsverein,Q262577,txt_alt,Karnevalsverein,Q1734138,txtwerk,1233_1248,20090101:170223-99-408779/10
Karnevalsverein,Karnevalsverein,Q262577,txt_alt,Karnevalsverein,Q1734138,textrazor,1233_1248,20090101:170223-99-408779/10
Italiener,"Italienische Fußballnationalmannschaft",Q676899,dandelion,Italiener,Q50001,ambiverse,3129_3138,20090101:170224-99-421725/2
Italiens,"Italienische Fußballnationalmannschaft",Q676899,dandelion,Italien,Q38,ambiverse,3359_3367,20090101:170224-99-421725/2
Palermo,Palermo,Q2656,dandelion,"US Palermo",Q2674,ambiverse,3387_3394,20090101:170224-99-421725/2
Vulkan,Vulkan,Q8072,txtwerk,Vulkan,Q828244,dandelion,822_828,20090101:170224-99-421725/2
Spanier,Spanien,Q29,txtwerk,"Spanische Fußballnationalmannschaft",Q42267,dandelion,2943_2950,20090101:170224-99-421725/2
Palermo,Palermo,Q2656,txtwerk,"US Palermo",Q2674,ambiverse,3387_3394,20090101:170224-99-421725/2
Palermo,Palermo,Q2656,textrazor,"US Palermo",Q2674,ambiverse,3387_3394,20090101:170224-99-421725/2
Vulkan,Vulkan,Q8072,textrazor,Vulkan,Q828244,dandelion,822_828,20090101:170224-99-421725/2
Bayern,"FC Bayern München",Q15789,textrazor,Bayern,Q980,dandelion,1698_1704,20090101:170224-99-421725/2
Bayern,"FC Bayern München",Q15789,textrazor,Bayern,Q980,txtwerk,1698_1704,20090101:170224-99-421725/2
Bayern,"FC Bayern München",Q15789,textrazor,Bayern,Q980,ambiverse,1132_1138,20090101:170224-99-421725/2
Bayern,"FC Bayern München",Q15789,textrazor,Bayern,Q980,dandelion,1132_1138,20090101:170224-99-421725/2
Bayern,"FC Bayern München",Q15789,textrazor,Bayern,Q980,txtwerk,1132_1138,20090101:170224-99-421725/2
Bayern,"FC Bayern München",Q15789,textrazor,Bayern,Q980,dandelion,1921_1927,20090101:170224-99-421725/2
Bayern,"FC Bayern München",Q15789,textrazor,Bayern,Q980,txtwerk,1921_1927,20090101:170224-99-421725/2
Vulkan,Vulkan,Q4640,txt_alt,Vulkan,Q828244,dandelion,822_828,20090101:170224-99-421725/2
Vulkan,Vulkan,Q4640,txt_alt,Vulkan,Q8072,txtwerk,822_828,20090101:170224-99-421725/2
Vulkan,Vulkan,Q4640,txt_alt,Vulkan,Q8072,textrazor,822_828,20090101:170224-99-421725/2
